gvkey,fyear,tic,conm,oiadp,at,ind
4600,2015,FDML,FEDERAL-MOGUL HOLDINGS CORP,234,7238,25
4601,2015,FNMA,FANNIE MAE,106305,3221917,40
4605,2015,FRT,FEDERAL REALTY INVESTMENT TR,301.719,4911.709,60
4607,2015,FSCR,FEDERAL SCREW WORKS,1.46,53.425,25
4608,2015,FSS,FEDERAL SIGNAL CORP,103.6,666.5,20
4611,2015,M,MACY'S INC,2039,20576,25
4622,2015,FOE,FERRO CORP,99.181,1225.351,15
4632,2015,CLBS,CALADRIUS BIOSCIENCES INC,-51.577,57.205,35
4640,2015,FITB,FIFTH THIRD BANCORP,3589,141082,40
4674,2015,RF,REGIONS FINANCIAL CORP,2499,126050,40
4678,2015,FMER,FIRSTMERIT CORP,441.184,25524.604,40
4685,2015,TRMK,TRUSTMARK CORP,236.683,12678.896,40
4690,2015,FCNCA,FIRST CITIZENS BANCSH  -CL A,483.907,31475.934,40
4699,2015,MTB,M & T BANK CORP,2527.496,122787.884,40
4707,2015,FHRT,FIRST HARTFORD CORP,12.849,241.456,60
4723,2015,USB,U S BANCORP,11510,421853,40
4737,2015,FHN,FIRST HORIZON NATIONAL CORP,544.186,26195.136,40
4759,2015,BDL,FLANIGANS ENTERPRISES INC,7.401,54.622,25
4771,2015,FLXS,FLEXSTEEL INDUSTRIES INC,34.172,244.619,25
4798,2015,FPL1,FLORIDA POWER & LIGHT CO,2977,42523,55
4799,2015,DUK9,DUKE ENERGY FLORIDA INC,1115,15624,55
4809,2015,FLO,FLOWERS FOODS INC,307.837,2885.168,30
4818,2015,FLR,FLUOR CORP,930.367,7631.506,20
4826,2015,FONR,FONAR CORP,12.9,76.492,35
4839,2015,F,FORD MOTOR CO,10101,224925,25
4840,2015,F1,FORD MOTOR CREDIT CO LLC,4663,137448,40
4842,2015,FCE.A,FOREST CITY REALTY TRUST INC,-312.889,9993.009,60
4860,2015,FSTR,FOSTER (LB) CO,29.52,566.66,20
4881,2015,FELE,FRANKLIN ELECTRIC CO INC,93.558,996.408,20
4885,2015,BEN,FRANKLIN RESOURCES INC,3040,16335.7,40
4900,2015,FEIM,FREQUENCY ELECTRONICS INC,1.302,120.214,45
4903,2015,FRD,FRIEDMAN INDUSTRIES INC,0.024,66.89,15
4925,2015,FUJIY,FUJIFILM HLDGS CORP,1700.578,29920.601,45
4926,2015,FUL,FULLER (H. B.) CO,192.937,2042.252,15
4936,2015,GK,G&K SERVICES INC  -CL A,105.118,928.865,20
4941,2015,GATX,GATX CORP,368.4,6894.2,20
4973,2015,AJG,ARTHUR J GALLAGHER & CO,537.2,10913.8,40
4988,2015,TGNA,TEGNA INC,849.157,8537.758,50
4990,2015,GPS,GAP INC,1613,7473,25
5018,2015,AJRD,AEROJET ROCKETDYNE HOLDINGS,103.4,2034.9,20
5046,2015,GD,GENERAL DYNAMICS CORP,4155,31997,20
5047,2015,GE,GENERAL ELECTRIC CO,10239,492692,20
5050,2015,JOB,GEE GROUP INC,-1.26,26.874,20
5071,2015,GIS,GENERAL MILLS INC,2846.5,21712.3,30
5072,2015,ALLY,ALLY FINANCIAL INC,3409,158581,40
5073,2015,GM,GENERAL MOTORS CO,9807,194520,25
5087,2015,SPXC,SPX CORP,-38.4,2181.3,20
5109,2015,GCO,GENESCO INC,154.941,1541.483,25
5116,2015,GNTX,GENTEX CORP,458.766,2148.673,25
5125,2015,GPC,GENUINE PARTS CO,1124.414,8144.771,25
5135,2015,SO2,GEORGIA POWER,2348,32865,55
5149,2015,GTY,GETTY REALTY CORP,53.691,899.129,60
5165,2015,GIGA,GIGA-TRONICS INC,-3.707,11.202,45
5179,2015,GLT,GLATFELTER,86.459,1503.624,15
5180,2015,GSK,GLAXOSMITHKLINE PLC,6632.751,78811.472,35
5205,2015,GDRZF,GOLD RESERVE INC,-4.416,22.381,15
5210,2015,GLDC,GOLDEN ENTERPRISES,4.877,43.085,30
5218,2015,GV,GOLDFIELD CORP,8.752,81.164,20
5234,2015,GT,GOODYEAR TIRE & RUBBER CO,1680,16439,25
5237,2015,GRC,GORMAN-RUPP CO,36.391,364.201,20
5242,2015,6283B,COLE REAL ESTATE INCM STRTGY,5.665,281.502,40
5250,2015,GRA,GRACE (W R) & CO,537.3,3676,15
5252,2015,GGG,GRACO INC,302.125,1391.352,20
5254,2015,GHM,GRAHAM CORP,6.69,143.131,20
5256,2015,GWW,GRAINGER (W W) INC,1345.671,5857.755,20
5284,2015,GTN,GRAY TELEVISION INC,146.437,2143.161,50
5288,2015,1737B,GRAYBAR ELECTRIC CO INC,146.369,2049.543,20
5327,2015,PXFG,PHOENIX FOOTWEAR GROUP INC,-0.256,14.595,25
5338,2015,GEF,GREIF INC  -CL A,266.2,3315.7,15
5342,2015,MGI,MONEYGRAM INTERNATIONAL INC,79.1,4505.2,45
5379,2015,GLF,GULFMARK OFFSHORE INC,-22.789,1370.27,10
5385,2015,SO3,GULF POWER CO,290,4920,55
5408,2015,HMG,HMG COURTLAND PROPERTIES,-0.943,32.225,60
5439,2015,HAL,HALLIBURTON CO,2320,36942,10
5492,2015,HRS,HARRIS CORP,848,13129,20
5496,2015,HSC,HARSCO CORP,120.109,2071.327,20
5518,2015,HAS,HASBRO INC,688.872,4720.717,25
5520,2015,AMOT,ALLIED MOTION TECHNOLOGIES,21.499,166.086,20
5523,2015,HVT,HAVERTY FURNITURE,45.947,471.251,25
5525,2015,HE1,HAWAIIAN ELECTRIC CO,274.116,5173.967,55
5526,2015,HE,HAWAIIAN ELECTRIC INDS,322.553,11284.109,55
